STATION,TIME,ENTRIES,EXITS
1 AV,20150404,121842.5,129317.0
1 AV,20150502,98415.0,103084.0
1 AV,20150530,134590.5,137873.0
1 AV,20150627,121711.0,125019.0
1 AV,20150725,119668.5,124914.5
1 AV,20150822,113129.0,117616.5
1 AV,20150919,131092.0,134312.5
1 AV,20151017,137839.0,142755.5
1 AV,20151114,142798.0,153643.0
1 AV,20151212,130800.5,138959.0
1 AV,20160109,137584.0,149838.5
1 AV,20160206,147974.5,159346.0
1 AV,20160305,138057.0,147098.0
1 AV,20160402,131597.0,137612.0
1 AV,20160430,131854.0,136165.5
1 AV,20160528,132272.0,135092.5
1 AV,20160625,117745.5,122071.5
1 AV,20160723,110918.5,118276.5
1 AV,20160820,102785.5,108755.5
1 AV,20160917,124552.0,127261.5
1 AV,20161015,125415.0,131488.0
1 AV,20161112,134304.5,145018.5
1 AV,20161210,135619.0,147604.5
1 AV,20170107,122747.0,133117.0
1 AV,20170204,127897.0,134612.0
1 AV,20170304,129898.0,138414.0
1 AV,20150404,154101.0,128693.5
103 ST,20150418,197690.5,128702.5
103 ST,20150516,153676.5,116573.0
103 ST,20150613,155008.5,114923.0
103 ST,20150711,139558.5,104540.0
103 ST,20150808,134171.5,102882.0
103 ST,20150905,154896.0,115011.5
103 ST,20151003,197048.5,135930.5
103 ST,20151031,196754.0,131587.5
103 ST,20151128,196637.5,130720.0
103 ST,20151226,171080.5,115953.5
103 ST,20160123,171057.0,85996.0
103 ST,20160220,162392.5,77480.5
103 ST,20160319,170904.5,82461.0
103 ST,20160416,166104.0,76899.0
103 ST,20160514,175776.5,85772.5
103 ST,20160611,193003.5,121566.0
103 ST,20160709,180631.5,115234.5
103 ST,20160806,171699.0,110057.0
103 ST,20160903,165709.5,107913.0
103 ST,20161001,197348.5,123136.0
103 ST,20161029,202971.0,124716.5
103 ST,20161126,199433.0,118225.0
103 ST,20161224,174287.5,106767.0
103 ST,20170121,178336.0,108796.5
103 ST,20170218,178131.0,107704.5
103 ST,20170318,186033.0,113979.5
103 ST CORONA,20150404,121180.5,74885.5
103 ST CORONA,20150502,122654.0,83854.0
103 ST CORONA,20150530,118381.5,75297.5
103 ST CORONA,20150627,117428.5,73405.0
103 ST CORONA,20150725,117911.5,71605.0
